"		192",柳林,2017-02-04,49.1,16
"		192",柳林,2017-02-05,67.3,40
"		192",柳林,2017-02-06,40.9,21
"		192",柳林,2017-02-07,49.8,15
"		192",柳林,2017-02-08,45.5,17
"		192",柳林,2017-02-09,31.5,20
"		192",柳林,2017-02-10,35.9,20
"		192",柳林,2017-02-11,37.4,24
"		192",柳林,2017-02-12,48.9,15
"		192",柳林,2017-02-13,50,17
"		192",柳林,2017-02-14,49.5,12
"		192",柳林,2017-02-15,49.6,14
"		192",柳林,2017-02-16,66.6,35
"		192",柳林,2017-02-17,44.1,16
"		192",柳林,2017-02-18,19.6,8
"		192",柳林,2017-02-19,50.6,18
"		192",柳林,2017-02-20,45.3,11
"		192",柳林,2017-02-21,48.3,16
"		192",柳林,2017-02-22,84.5,66
"		192",柳林,2017-02-23,42.6,23
"		192",柳林,2017-02-24,31.1,12
"		192",柳林,2017-02-25,49.6,13
"		192",柳林,2017-02-26,54.5,19
"		192",柳林,2017-02-27,60.1,24
"		192",柳林,2017-02-28,55.9,15
"		192",柳林,2017-03-01,61.3,19
"		192",柳林,2017-03-02,50.6,25
"		192",柳林,2017-03-03,48.6,13
"		192",柳林,2017-03-04,57.8,20
"		192",柳林,2017-03-05,59.4,20
"		192",柳林,2017-03-06,32.6,11
"		192",柳林,2017-03-07,35.4,16
"		192",柳林,2017-03-08,47.5,22
"		192",柳林,2017-03-09,37.5,13
"		192",柳林,2017-03-10,42,10
"		192",柳林,2017-03-11,41.9,11
"		192",柳林,2017-03-12,49.3,12
"		192",柳林,2017-03-13,47.8,8
"		192",柳林,2017-03-14,43.4,11
"		192",柳林,2017-03-15,43,13
"		192",柳林,2017-03-16,56,30
"		192",柳林,2017-03-17,49.5,12
"		192",柳林,2017-03-18,51.3,12
"		192",柳林,2017-03-19,53.8,12
"		192",柳林,2017-03-20,75.4,43
"		192",柳林,2017-03-21,54.4,13
"		192",柳林,2017-03-22,55.4,25
"		192",柳林,2017-03-23,49.4,13
"		192",柳林,2017-03-24,61.3,41
"		192",柳林,2017-03-25,85.1,79
"		192",柳林,2017-03-26,78.4,44
"		192",柳林,2017-03-27,60.8,24
"		192",柳林,2017-03-28,55.6,21
"		192",柳林,2017-03-29,86.6,72
"		192",柳林,2017-03-30,62.4,13
"		192",柳林,2017-03-31,69.9,45
"		192",柳林,2017-04-01,78.9,41
"		192",柳林,2017-04-02,58.8,14
"		192",柳林,2017-04-03,45.9,9
"		192",柳林,2017-04-04,43.5,9
"		192",柳林,2017-04-05,77.4,43
"		192",柳林,2017-04-06,86.4,80
"		192",柳林,2017-04-07,69.5,23
"		192",柳林,2017-04-08,62.6,19
"		192",柳林,2017-04-09,56.4,35
"		192",柳林,2017-04-10,45.3,20
"		192",柳林,2017-04-11,59,28
"		192",柳林,2017-04-12,23,8
"		192",柳林,2017-04-13,42.5,23
"		192",柳林,2017-04-14,49,27
"		192",柳林,2017-04-15,59.8,34
"		192",柳林,2017-04-16,62,14
"		192",柳林,2017-04-17,88.6,74
"		192",柳林,2017-04-18,60.4,22
"		192",柳林,2017-04-19,36.1,14
"		192",柳林,2017-04-20,52.6,24
"		192",柳林,2017-04-21,56.1,16
"		192",柳林,2017-04-22,68,30
"		192",柳林,2017-04-23,63.4,18
"		192",柳林,2017-04-24,59.9,18
"		192",柳林,2017-04-25,68.1,37
"		192",柳林,2017-04-26,71.6,43
"		192",柳林,2017-04-27,29.5,17
"		192",柳林,2017-04-28,38.8,12
"		192",柳林,2017-04-29,41,15
"		192",柳林,2017-04-30,45.6,26
"		192",柳林,2017-05-01,52.6,22
"		192",柳林,2017-05-02,49.6,20
"		192",柳林,2017-05-03,54.3,20
"		192",柳林,2017-05-04,61,31
"		192",柳林,2017-05-05,88.3,76
"		192",柳林,2017-05-06,41.9,12
"		192",柳林,2017-05-07,40.6,12
"		192",柳林,2017-05-08,50.3,25
"		192",柳林,2017-05-09,88,39
"		192",柳林,2017-05-10,74.8,44
"		192",柳林,2017-05-11,61.6,21
"		192",柳林,2017-05-12,85.4,66
"		192",柳林,2017-05-13,68.8,45
"		192",柳林,2017-05-14,42.9,12
"		192",柳林,2017-05-15,49,20
"		192",柳林,2017-05-16,60.6,27
"		192",柳林,2017-05-17,60.5,27
"		192",柳林,2017-05-18,58,22
"		192",柳林,2017-05-19,53.8,20
"		192",柳林,2017-05-20,52.6,23
"		192",柳林,2017-05-21,59.8,26
"		192",柳林,2017-05-22,56.6,19
"		192",柳林,2017-05-23,67.6,43
"		192",柳林,2017-05-24,73.9,50
"		192",柳林,2017-05-25,51.9,13
"		192",柳林,2017-05-26,43.8,20
"		192",柳林,2017-05-27,54.1,23
"		192",柳林,2017-05-28,58,29
"		192",柳林,2017-05-29,51.6,20
"		192",柳林,2017-05-30,51.6,17
"		192",柳林,2017-05-31,69.3,36
"		192",柳林,2017-06-01,58.1,25
"		192",柳林,2017-06-02,49.3,23
"		192",柳林,2017-06-03,47,18
"		192",柳林,2017-06-04,46.8,16
"		192",柳林,2017-06-05,50.5,18
"		192",柳林,2017-06-06,68.6,37
"		192",柳林,2017-06-07,72.3,53
"		192",柳林,2017-06-08,54.6,17
"		192",柳林,2017-06-09,49.6,17
"		192",柳林,2017-06-10,63.8,39
"		192",柳林,2017-06-11,59,39
"		192",柳林,2017-06-12,56.5,29
"		192",柳林,2017-06-13,65.8,31
"		192",柳林,2017-06-14,61.1,25
"		192",柳林,2017-06-15,48.8,19
"		192",柳林,2017-06-16,57.6,36
"		192",柳林,2017-06-17,54.4,26
"		192",柳林,2017-06-18,58,24
"		192",柳林,2017-06-19,54.5,27
"		192",柳林,2017-06-20,73.3,48
"		192",柳林,2017-06-21,66.6,35
"		192",柳林,2017-06-22,62.9,29
"		192",柳林,2017-06-23,62.9,36
"		192",柳林,2017-06-24,64.3,38
"		192",柳林,2017-06-25,71.5,53
"		192",柳林,2017-06-26,84.5,66
"		192",柳林,2017-06-27,70.1,44
"		192",柳林,2017-06-28,66.6,39
"		192",柳林,2017-06-29,78.8,59
"		192",柳林,2017-06-30,75.9,58
"		192",柳林,2017-07-01,74,48
"		192",柳林,2017-07-02,79.3,67
"		192",柳林,2017-07-03,72.6,61
"		192",柳林,2017-07-04,80.5,54
"		192",柳林,2017-07-05,81.8,48
"		192",柳林,2017-07-06,89.6,72
"		192",柳林,2017-07-07,90.4,72
"		192",柳林,2017-07-08,91.9,73
"		192",柳林,2017-07-09,84.3,64
"		192",柳林,2017-07-10,85.8,77
"		192",柳林,2017-07-11,78.5,69
"		192",柳林,2017-07-12,75.6,50
"		192",柳林,2017-07-13,78.3,55
"		192",柳林,2017-07-14,81.9,51
"		192",柳林,2017-07-15,80,61
"		192",柳林,2017-07-16,73.6,45
"		192",柳林,2017-07-17,83.1,56
"		192",柳林,2017-07-18,83.6,61
"		192",柳林,2017-07-19,73.5,45
"		192",柳林,2017-07-20,78.1,54
"		192",柳林,2017-07-21,73.5,44
"		192",柳林,2017-07-22,72.9,33
"		192",柳林,2017-07-23,78.5,56
"		192",柳林,2017-07-24,79.4,53
"		192",柳林,2017-07-25,87.4,60
"		192",柳林,2017-07-26,69.9,44
"		192",柳林,2017-07-27,64.1,34
"		192",柳林,2017-07-28,68,42
"		192",柳林,2017-07-29,80.9,66
"		192",柳林,2017-07-30,78.6,59
"		192",柳林,2017-07-31,87,63
"		192",柳林,2017-08-01,81.5,53
"		192",柳林,2017-08-02,81.5,54
"		192",柳林,2017-08-03,71.8,48
"		192",柳林,2017-08-04,71,49
"		192",柳林,2017-08-05,68.9,46
"		192",柳林,2017-08-06,62.5,38
"		192",柳林,2017-08-07,60.3,29
"		192",柳林,2017-08-08,70.5,49
"		192",柳林,2017-08-09,87,70
"		192",柳林,2017-08-10,72.4,45
"		192",柳林,2017-08-11,78.8,44
"		192",柳林,2017-08-12,76.3,52
"		192",柳林,2017-08-13,76.1,58
"		192",柳林,2017-08-14,96.6,93
"		192",柳林,2017-08-15,95.4,90
"		192",柳林,2017-08-16,85.5,58
"		192",柳林,2017-08-17,80,49
"		192",柳林,2017-08-18,77.4,50
"		192",柳林,2017-08-19,85.3,70
"		192",柳林,2017-08-20,91.3,69
"		192",柳林,2017-08-21,90.8,71
"		192",柳林,2017-08-22,88.8,67
"		192",柳林,2017-08-23,77.3,58
"		192",柳林,2017-08-24,68.3,55
